Circonscription,province,parti,Date de début,Date de fin,nom,genre,legislature,urlPhoto
Papineau,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Justin Trudeau,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/TrudeauJustin_LIB.jpg
Chatham-Kent—Leamington,Ontario,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Dave Van Kesteren,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/VanKesterenDave_CPC.jpg
York—Simcoe,Ontario,PCC,2015-10-19 00:00:00,2018-09-30 00:00:00,Peter Van Loan,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/SchiefkePeter_Lib.jpg
Saint-Boniface—Saint-Vital,Manitoba,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Dan Vandal,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/VandalDan_Lib.jpg
Spadina—Fort York,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Adam Vaughan,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/VaughanAdam_Lib.jpg
Peace River—Westlock,Alberta,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Arnold Viersen,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ViersenArnold_CPC.jpg
Parkdale—High Park,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Arif Virani,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ViraniArif_Lib.jpg
Langley—Aldergrove,Colombie-Britannique,PCC,2015-10-19 00:00:00,2019-06-20 23:59:59,Mark Warawa,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/StrahlMark_CPC.jpg
Grande Prairie—Mackenzie,Alberta,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Chris Warkentin,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/WarkentinChris_CPC.jpg
Saskatoon—Grasswood,Saskatchewan,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Kevin Waugh,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/WaughKevin_CPC.jpg
Calgary Confederation,Alberta,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Len Webber,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/WebberLen_CPC.jpg
Regina—Lewvan,Saskatchewan,Ind.,2015-10-19 00:00:00,2019-10-20 23:59:59,Erin Weir,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/WeirErin_NDP.jpg
St. John's-Est,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Nick Whalen,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ShinNelly_CPC.jpg
North Vancouver,Colombie-Britannique,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Jonathan Wilkinson,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/WilkinsonJonathan_Lib.jpg
Etobicoke-Centre,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Borys Wrzesnewskyj,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/WrzesnewskyjBorys_Lib.jpg
Fort McMurray—Cold Lake,Alberta,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,David Yurdiga,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/YurdigaDavid_CPC.jpg
Prince George—Peace River—Northern Rockies,Colombie-Britannique,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Bob Zimmer,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ZimmerBob_CPC.jpg
Aurora—Oak Ridges—Richmond Hill,Ontario,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Leona Alleslev,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AlleslevLeona_CPC.jpg
Sturgeon River—Parkland,Alberta,PCC,2015-10-19 00:00:00,2017-07-04 23:59:59,Rona Ambrose,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/FalkRosemarie_CPC.jpg
Churchill—Keewatinook Aski,Manitoba,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Niki Ashton,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/DiIorioNicola_Lib.jpg
Outremont,Québec,PLC,2019-02-25 00:00:00,2019-10-20 23:59:59,Rachel Bendayan,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BendayanRachel_Lib.jpg
Toronto—St. Paul's,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Carolyn Bennett,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DesbiensCaroline_BQ.jpg
Saskatoon-Ouest,Saskatchewan,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Sheri Benson,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/RomanadoSherry_Lib.jpg
Portage—Lisgar,Manitoba,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Candice Bergen,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BergenCandice_CPC.jpg
Compton—Stanstead,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Marie-Claude Bibeau,F,42,https://cdn-icons-png.flaticon.com/512/1/1247.png
North Island—Powell River,Colombie-Britannique,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Rachel Blaney,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BlaneyRachel_NDP.jpg
Sentier Carlton—Eagle Creek,Saskatchewan,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Kelly Block,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BlockKelly_CPC.jpg
Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Québec,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Sylvie Boucher,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BérubéSylvie_BQ.jpg
Hochelaga,Québec,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Marjolaine Boutin-Sweet,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/SimardMario_BQ.jpg
Berthier—Maskinongé,Québec,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Ruth Ellen Brosseau,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/TurnbullRyan_CPC.jpg
Whitby,Ontario,Ind.,2015-10-19 00:00:00,2019-10-20 23:59:59,Celina Caesar-Chavannes,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McLeodCathy_CPC.jpg
Waterloo,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Bardish Chagger,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChaggerBardish_Lib.jpg
Toronto—Danforth,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Julie Dabrusin,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DabrusinJulie_Lib.jpg
Oakville-Nord—Burlington,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Pam Damoff,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/RodriguezPablo_Lib.jpg
Dorval—Lachine—LaSalle,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Anju Dhillon,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DhillonAnju_Lib.jpg
Etobicoke-Nord,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Kirsty Duncan,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DuncanKirsty_Lib.jpg
Edmonton Strathcona,Alberta,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Linda Duncan,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/DuncanLinda_NDP.jpg
Davenport,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Julie Dzerowicz,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/DzerowiczJulie_Lib.jpg
Battlefords—Lloydminster,Saskatchewan,PCC,2017-12-11 00:00:00,2019-10-20 23:59:59,Rosemarie Falk,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/SahotaRuby_Lib.jpg
Haldimand—Norfolk,Ontario,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Diane Finley,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/FinleyDiane_CPC.jpg
Bonavista—Burin—Trinity,Provinces maritimes,PLC,2015-10-19 00:00:00,2017-09-30 23:59:59,Judy Foote,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/FooteJudy_Lib.jpg
Ottawa—Vanier,Ontario,PLC,2017-04-03 00:00:00,2019-10-20 23:59:59,Mona Fortier,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/LakeMike_CPC.jpg
University—Rosedale,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Chrystia Freeland,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/FreelandChrystia_Lib.jpg
Vancouver-Centre,Colombie-Britannique,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Hedy Fry,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/FryHedy_Lib.jpg
Renfrew—Nipissing—Pembroke,Ontario,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Cheryl Gallant,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AngusCharlie_NDP.jpg
Manicouagan,Québec,BQ,2015-10-19 00:00:00,2019-10-20 23:59:59,Marilène Gill,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/GaudreauMarieHélène_BQ.jpg
Sarnia—Lambton,Ontario,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Marilyn Gladu,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/GillMarilène_BQ.jpg
West Vancouver—Sunshine Coast—Sea to Sky Country,Colombie-Britannique,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Pamela Goldsmith-Jones,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/GoldsmithJonesPamela_Lib.jpg
Burlington,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Karina Gould,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/GouldKarina_Lib.jpg
Thunder Bay—Supérieur-Nord,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Patty Hajdu,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/WeilerPatrick_Lib.jpg
Windsor—Tecumseh,Ontario,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Cheryl Hardcastle,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/GallantCheryl_CPC.jpg
Algoma—Manitoulin—Kapuskasing,Ontario,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Carol Hughes,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/QualtroughCarla_Lib.jpg
Long Range Mountains,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Gudie Hutchings,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/HutchingsGudie_Lib.jpg
Desnethé—Missinippi—Rivière Churchill,Saskatchewan,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Georgina Jolibois,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/JoliboisGeorgina_NDP.jpg
Ahuntsic-Cartierville,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Mélanie Joly,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/Blanchette-JoncasMaxime_BQ.jpg
Labrador,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Yvonne Jones,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/JonesYvonne_Lib.jpg
South Shore—St. Margarets,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Bernadette Jordan,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JordanBernadette_Lib.jpg
Mississauga—Erin Mills,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Iqra Khalid,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/KhalidIqra_Lib.jpg
Brampton-Ouest,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Kamal Khera,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/KheraKamal_Lib.jpg
Calgary Midnapore,Alberta,PCC,2017-04-03 00:00:00,2019-10-20 23:59:59,Stephanie Kusie,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/EllisStephen_CPC.jpg
Vancouver-Est,Colombie-Britannique,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Jenny Kwan,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/KwanJenny_NDP.jpg
Saint-Laurent,Québec,PLC,2017-04-03 00:00:00,2019-10-20 23:59:59,Emmanuella Lambropoulos,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/LambropoulosEmmanuella_Lib.jpg
Rivière-des-Mille-Îles,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Linda Lapointe,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/LapointeLinda_Lib.jpg
Laurier—Sainte-Marie,Québec,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Hélène Laverdière,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/LaverdièreHélène_NDP.jpg
Gaspésie—Les Îles-de-la-Madeleine,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Diane Lebouthillier,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/LebouthillierDiane_Lib.jpg
Simcoe—Grey,Ontario,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,K. Kellie Leitch,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/LeitchKKellie_CPC.jpg
Fundy Royal,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Alaina Lockhart,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/LockhartAlaina_Lib.jpg
Nouveau-Brunswick-Sud-Ouest,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Karen Ludwig,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/LudwigKaren_Lib.jpg
Nanaimo—Ladysmith,Colombie-Britannique,NPD,2015-10-19 00:00:00,2019-01-02 08:58:48,Sheila Malcolmson,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/KrampNeumanShelby_CPC.jpg
London—Fanshawe,Ontario,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Irene Mathyssen,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/MathyssenIrene_NDP.jpg
Saanich—Gulf Islands,Colombie-Britannique,PV,2015-10-19 00:00:00,2019-10-20 23:59:59,Elizabeth May,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/MayElizabeth_GP.jpg
Kanata—Carleton,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Karen McCrimmon,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McCrimmonKaren_Lib.jpg
Ottawa-Centre,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Catherine McKenna,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/WagantallCathay_CPC.jpg
Kamloops—Thompson—Cariboo,Colombie-Britannique,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Cathy McLeod,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McKennaCatherine_Lib.jpg
Brossard—Saint-Lambert,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Alexandra Mendès,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/MendèsAlexandra_Lib.jpg
Kildonan—St. Paul,Manitoba,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,MaryAnn Mihychuk,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/NgMary_Lib.jpg
Peterborough—Kawartha,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Maryam Monsef,F,42,https://cdn-icons-png.flaticon.com/512/1/1247.png
Abitibi—Témiscamingue,Québec,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Christine Moore,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/MooreChristine_NPD.jpg
Vancouver Quadra,Colombie-Britannique,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Joyce Murray,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/MurrayJoyce_Lib.jpg
Vimy,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Eva Nassif,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/NassifEva_Lib.jpg
Markham—Thornhill,Ontario,PLC,2017-04-03 00:00:00,2019-10-20 23:59:59,Mary Ng,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/TabbaraMarwan_Lib.jpg
Pickering—Uxbridge,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Jennifer O'Connell,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/OConnellJennifer_Lib.jpg
Repentigny,Québec,BQ,2015-10-19 00:00:00,2019-10-20 23:59:59,Monique Pauzé,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/FortierMona_Lib.jpg
Moncton—Riverview—Dieppe,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Ginette Petitpas Taylor,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/PetitpasTaylorGinette_Lib.jpg
Markham—Stouffville,Ontario,Ind.,2015-10-19 00:00:00,2019-10-20 23:59:59,Jane Philpott,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/PhilpottJane_Lib.jpg
Salaberry—Suroît,Québec,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Anne Minh-Thu Quach,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/QuachAnneMinhThu_NDP.jpg
Delta,Colombie-Britannique,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Carla Qualtrough,F,42,https://cdn-icons-png.flaticon.com/512/1/1247.png
Milton,Ontario,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Lisa Raitt,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/RaittLisa_CPC.jpg
Essex,Ontario,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Tracey Ramsey,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/RamseyTracey_NDP.jpg
Don Valley-Est,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Yasmin Ratansi,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RatansiYasmin_Lib.jpg
Calgary Nose Hill,Alberta,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Michelle Rempel,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/PicardMichel_Lib.jpg
Longueuil—Charles-LeMoyne,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Sherry Romanado,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MarcilSimon_BQ.jpg
Northumberland—Peterborough-Sud,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Kim Rudd,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/RuddKim_Lib.jpg
Brampton-Nord,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Ruby Sahota,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/BrosseauRuthEllen_NDP.jpg
Saint-Hyacinthe—Bagot,Québec,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Brigitte Sansoucy,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/SansoucyBrigitte_NDP.jpg
King—Vaughan,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Deb Schulte,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SchulteDeb_Lib.jpg
Humber River—Black Creek,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Judy A. Sgro,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/SgroJudyA_Lib.jpg
Châteauguay—Lacolle,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Brenda Shanahan,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ShanahanBrenda_Lib.jpg
Brampton-Sud,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Sonia Sidhu,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChatelSophie_Lib.jpg
Lakeland,Alberta,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Shannon Stubbs,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChenShaun_Lib.jpg
Hamilton-Ouest—Ancaster—Dundas,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Filomena Tassi,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/TassiFilomena_Lib.jpg
Lethbridge,Alberta,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Rachael Thomas,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ThomasRachael_CPC.jpg
Jonquière,Québec,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Karine Trudel,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/TrudelKarine_NDP.jpg
Ottawa-Ouest—Nepean,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Anita Vandenbeld,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/VandenbeldAnita_Lib.jpg
Elgin—Middlesex—London,Ontario,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Karen Vecchio,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/VecchioKaren_CPC.jpg
Yorkton—Melville,Saskatchewan,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Cathay Wagantall,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BennettCarolyn_Lib.jpg
Surrey-Sud—White Rock,Colombie-Britannique,PCC,2015-10-19 00:00:00,2017-09-29 23:59:59,Dianne L. Watts,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/WattsDianneLynn_CPC.jpg
Vancouver Granville,Colombie-Britannique,Ind.,2015-10-19 00:00:00,2019-10-20 23:59:59,Jody Wilson-Raybould,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/WilsonRaybouldJody_Ind.jpg
Richmond-Centre,Colombie-Britannique,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Alice Wong,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/WongAlice_CPC.jpg
Scarborough—Agincourt,Ontario,PLC,2017-12-11 00:00:00,2019-10-20 23:59:59,Jean Yip,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/YipJean_Lib.jpg
London-Ouest,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Kate Young,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/YoungKate_Lib.jpg
Scarborough-Centre,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Salma Zahid,F,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ZuberiSameer_Lib.jpg
Edmonton Manning,Alberta,PCC,2019-10-21 00:00:00,2021-09-19 23:59:59,Ziad Aboultaif,H,43,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AboultaifZiad_CPC.jpg
Parry Sound—Muskoka,Ontario,PCC,2019-10-21 00:00:00,2021-09-19 23:59:59,Scott Aitchison,H,43,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/BrisonScott_Lib.jpg
Central Okanagan—Similkameen—Nicola,Colombie-Britannique,PCC,2019-10-21 00:00:00,2021-09-19 23:59:59,Dan Albas,H,43,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AlbasDan_CPC.jpg
Mississauga-Centre,Ontario,PLC,2019-10-21 00:00:00,2021-09-19 23:59:59,Omar Alghabra,H,43,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AshtonNiki_NDP.jpg
Niagara-Ouest,Ontario,PCC,2019-10-21 00:00:00,2021-09-19 23:59:59,Dean Allison,H,43,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AllisonDean_CPC.jpg
Pontiac,Québec,PLC,2019-10-21 00:00:00,2021-09-19 23:59:59,William Amos,H,43,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AmosWilliam_Lib.jpg
Scarborough—Rouge Park,Ontario,PLC,2019-10-21 00:00:00,2021-09-19 23:59:59,Gary Anandasangaree,H,43,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AnandasangareeGary_Lib.jpg
